being,full_agent_name,call_id,duration_mins,status,link
Athena,UI - Athena,conv_8401kj8tjsfce0s8c3yd1a87tcz7,120,done,https://elevenlabs.io/app/conversational-ai/history/conv_8401kj8tjsfce0s8c3yd1a87tcz7
Athena,UI - Athena,conv_7501kj8r9rbpe2bseq5e4xzz03fv,120,done,https://elevenlabs.io/app/conversational-ai/history/conv_7501kj8r9rbpe2bseq5e4xzz03fv
Athena with Unblinded Library,Athena with Unblinded Library,conv_9501kj8gna31fdt8y4jzxh1s49n0,43,done,https://elevenlabs.io/app/conversational-ai/history/conv_9501kj8gna31fdt8y4jzxh1s49n0
Athena with Unblinded Library,Athena with Unblinded Library,conv_0501kj7qws3eernttjgrg7z4sjnd,29,done,https://elevenlabs.io/app/conversational-ai/history/conv_0501kj7qws3eernttjgrg7z4sjnd
Bella HOI,Bella HOI - Athena,conv_1601kj8wek8hf9mbdwr4dekgep2a,50,done,https://elevenlabs.io/app/conversational-ai/history/conv_1601kj8wek8hf9mbdwr4dekgep2a
Callie,Callie - UI,conv_4301kj8ejg95ebmaey8we4tjye3n,37,done,https://elevenlabs.io/app/conversational-ai/history/conv_4301kj8ejg95ebmaey8we4tjye3n
Callie,Callie - UI,conv_1901kj8cfem8erzvv7p62tkztxxh,34,done,https://elevenlabs.io/app/conversational-ai/history/conv_1901kj8cfem8erzvv7p62tkztxxh
Leadership,Leadership - Athena,conv_3801kj68zs2hek5a4g9ssnpzz7nv,38,done,https://elevenlabs.io/app/conversational-ai/history/conv_3801kj68zs2hek5a4g9ssnpzz7nv
Leadership,Leadership - Athena,conv_3901kj87rg4gfhv9p9g8761d769p,25,done,https://elevenlabs.io/app/conversational-ai/history/conv_3901kj87rg4gfhv9p9g8761d769p
MIRA,MIRA - Orchestrator - v2.1.1 - ACTIVE,conv_3001kj8hnw8ae6radcbear3t1w8j,29,done,https://elevenlabs.io/app/conversational-ai/history/conv_3001kj8hnw8ae6radcbear3t1w8j
MIRA,MIRA - Orchestrator - v2.1.1 - ACTIVE,conv_5301kj68q4v8frgvnvmj62h74jxd,23,done,https://elevenlabs.io/app/conversational-ai/history/conv_5301kj68q4v8frgvnvmj62h74jxd
Mira,UI - Mira,conv_1901kj8k34z1eb1s9tm5pc50jq7w,40,done,https://elevenlabs.io/app/conversational-ai/history/conv_1901kj8k34z1eb1s9tm5pc50jq7w
Mira,UI - Mira,conv_5301kj8kf35hffds951n8kk08krj,21,done,https://elevenlabs.io/app/conversational-ai/history/conv_5301kj8kf35hffds951n8kk08krj
SAI,SAI - Super Actualized Intelligence,conv_8201kj7t0sx2ew2sfax840e4jtbb,10,done,https://elevenlabs.io/app/conversational-ai/history/conv_8201kj7t0sx2ew2sfax840e4jtbb
