CPT_HCPCS,MOD,DESCRIPTION,PHYSICIAN_FEE_NORTH,PHYSICIAN_FEE_SOUTH,COL6,ASC_FEE_NORTH,ASC_FEE_SOUTH,PAYMENT_INDICATOR
Anes,,ANESTHESIA BASE UNITS,86.47,84.36,,,,
0232T,,NJX PLATELET PLASMA,63.95,63.95,,89.55,82.44,X
G0283,,"ELECTRICAL STIMULATION, (UNATTENDED), TO ONE OR MORE AREAS, ",20.14,19.26,,,,
G0289,,"ARTHRO, LOOSE BODY + CHONDRO",483.5,467.07,,,,"X, N1"
10060.0,,DRAIN SKIN ABSCESS,176.46,168.0,,198.84,183.03,
10061.0,,DRAIN SKIN ABSCESS,290.74,278.25,,198.84,183.03,
10120.0,,REMOVE FOREIGN BODY,219.66,208.52,,297.15,273.51,
10121.0, ,REMOVE FOREIGN BODY,423.57,403.23,,2411.7,2219.85,
10140.0, ,DRAIN HEMATOMA/FLUID,250.71,238.43,,321.75,296.13,
10160.0,,PUNCTURE DRAIN LESION,203.36,193.31,,198.84,183.03,
10180.0,,COMPLEX DRAIN WOUND,381.01,362.7,,2694.69,2480.34,
11000.0,,DEBRIDE INFECTED SKIN,84.28,80.26,,102.96,94.77,
11001.0, ,"DEBRIDE INFECTED SKIN, ADDED",33.67,32.24,,33.93,31.23,
11010.0, ,"DEBRIDE SKIN, FX",770.97,732.08,,678.84,624.84,
11011.0, ,"DEBRIDE SKIN/MUSCLE, FX",842.6,801.49,,678.84,624.84,
11012.0, ,"DEBRIDE SKIN/MUSCLE/BONE, FX",1128.89,1074.42,,678.84,624.84,
11042.0,,DEBRIDE SKIN/TISSUE,141.88,134.65,,364.44,335.43,
11043.0, ,DEBRIDE TISSUE/MUSCLE,309.64,294.89,,364.44,335.43,
11044.0, ,DEBRIDE TISSUE/MUSCLE/BONE,467.58,447.17,,1132.98,1042.83,
11045.0,,DEBRIDE SUBQ TISSUE ADD-ON,50.08,47.78,,364.44,335.43,
11046.0,,DEBRIDE MUSCLE/FASCIA ADD-ON,86.02,82.37,,364.44,335.43,
11047.0,,DEBRIDE BONE ADD-ON,141.04,135.27,,1132.98,1042.83,
11055.0,,TRIM SKIN LESION,78.7,74.56,,111.15,102.3,
11056.0,,"TRIM SKIN LESIONS, 2 TO 4",93.59,88.93,,121.44,111.78,
11057.0,,"TRIM SKIN LESIONS, OVER 4",110.23,104.93,,121.44,111.78,
11100.0,,BIOPSY SKIN LESION,168.53,159.57,,199.77,183.9,
11101.0,,"BIOPSY SKIN, ADDED",52.52,50.16,,58.5,53.85,
11200.0,,REMOVE SKIN TAGS,136.42,129.65,,121.44,111.78,
11300.0,,SHAVE SKIN LESION,111.63,105.61,,121.44,111.78,
11301.0,,SHAVE SKIN LESION,150.18,142.55,,121.44,111.78,
11302.0,,SHAVE SKIN LESION,179.35,170.36,,121.44,111.78,
11305.0,,SHAVE SKIN LESION,110.55,104.93,,121.44,111.78,
11306.0,,SHAVE SKIN LESION,152.62,145.18,,121.44,111.78,
11310.0,,SHAVE SKIN LESION,137.16,130.09,,121.44,111.78,
11311.0,,SHAVE SKIN LESION,171.78,163.3,,121.44,111.78,
11400.0,,EXCISE TRT-EXT BENIGN+MARG 0.5 < CM,192.83,182.5,,283.11,260.58,
11401.0,,EXCISE TRT-EXT BENIGN+MARG 0.6-1 CM,234.32,222.41,,319.41,294.0,
11402.0,,EXCISE TRT-EXT BENIGN+MARG 1.1-2 CM,260.75,247.62,,350.97,323.04,
11403.0,,EXCISE TRT-EXT BENIGN+MARG 2.1-3 CM,298.16,283.7,,379.02,348.87,
11404.0,,EXCISE TRT-EXT BENIGN+MARG 3.1-4 CM,338.86,322.54,,2411.7,2219.85,
11406.0,,EXCISE TRT-EXT BENIGN+MARG > 4.0 CM,478.41,457.22,,2411.7,2219.85,
11420.0,,EXCISE H-F-NECK-SP BENIGN+MARG 0.5 <,191.28,181.36,,266.76,245.52,
11421.0,,EXCISE H-F-NECK-SP BENIGN+MARG 0.6-1,247.34,235.08,,324.03,298.26,
11422.0,,EXCISE H-F-NECK-SP BENIGN+MARG 1.1-2,275.21,261.73,,354.48,326.28,
11423.0,,EXCISE H-F-NECK-SP BENIGN+MARG 2.1-3,317.92,302.76,,394.26,362.88,
11424.0,,EXCISE H-F-NECK-SP BENIGN+MARG 3.1-4,364.37,347.38,,2411.7,2219.85,
11426.0,,EXCISE H-F-NECK-SP BENIGN+MARG > 4 CM,516.41,494.2,,3188.13,2934.54,
11440.0,,EXCISE FACE-MM BENIGN+MARG 0.5 < CM,211.84,200.73,,301.83,277.83,
11441.0,,EXCISE FACE-MM BENIGN+MARG 0.6-1 CM,264.8,251.6,,350.97,323.04,
11442.0,,EXCISE FACE-MM BENIGN+MARG 1.1-2 CM,298.23,283.53,,388.41,357.51,
11443.0,,EXCISE FACE-MM BENIGN+MARG 2.1-3 CM,353.37,336.68,,431.67,397.35,
11444.0,,EXCISE FACE-MM BENIGN+MARG 3.1-4 CM,442.21,422.12,,1132.98,1042.83,
11719.0,,TRIM NAIL(S),34.77,32.88,,51.48,47.37,
11720.0,,"DEBRIDE NAIL, 1-5",49.82,47.36,,64.35,59.25,
11721.0,,"DEBRIDE NAIL, 6 OR MORE",67.33,64.26,,76.02,69.99,
11730.0,,REMOVE NAIL PLATE,151.98,144.74,,121.44,111.78,
11732.0,,"REMOVE NAIL PLATE, ADDED",68.85,65.77,,76.02,69.99,
11740.0,,DRAIN BLOOD UNDER NAIL,75.08,71.04,,57.72,53.13,
11750.0,,REMOVE NAIL BED,343.28,327.09,,411.81,379.05,
11752.0,,REMOVE NAIL BED/FINGER TIP,494.47,471.49,,582.6,536.25,
11760.0,,REPAIR NAIL BED,346.62,328.23,,177.81,163.68,
11762.0,,RECONSTRUCT NAIL BED,429.68,409.09,,531.12,488.88,
11765.0,,"EXCISE NAIL FOLD, TOE",223.0,209.99,,121.44,111.78,
