CPT_HCPCS,DESCRIPTION
29200,STRAP CHEST
29240,STRAP SHOULDER
29260,STRAP ELBOW OR WRIST
29280,STRAP HAND OR FINGER
29520,STRAP HIP
29530,STRAP KNEE
29540,STRAP ANKLE AND/OR FT
29550,STRAP TOES
29580,APPLY PASTE BOOT
29581,APPLY MULTILAY COMPRESS LWR LEG
29590,APPLY FOOT SPLINT
29799,CAST/STRAP PROCEDURE
97012,MECHANICAL TRACTION THERAPY
G0283,"ELECTRICAL STIMULATION, (UNATTENDED), TO ONE OR MORE AREAS"
97016,VASOPNEUMATIC DEVICE THERAPY
97018,PARAFFIN BATH THERAPY
97022,WHIRLPOOL THERAPY
97024,"DIATHERMY EG, MICROWAVE"
97026,INFRARED THERAPY
97028,ULTRAVIOLET THERAPY
97032,"APPLICATION OF A MODALITY TO ONE OR MORE AREAS; ELECTRICAL STIMULATION (MANUAL), EACH 15 MINUTES"
97033,"IONTOPHORESIS, EACH 15 MINUTES"
97034,"CONTRAST BATHS, EACH 15 MINUTES"
97035,"ULTRASOUND, EACH 15 MINUTES"
97036,"HUBBARD TANK, EACH 15 MINUTES"
97039,UNLISTED PHYSICAL MEDICINE & REHAB MODALITY
97110,"THERAPEUTIC PROCEDURE, 1 OR MORE AREAS, EACH 15 MINUTES; THERAPEUTIC EXERCISES TO DEVELOP STRENGTH AND ENDURANCE, RANGE OF MOTION AND FLEXIBILITY"
97112,"NEUROMUSCULAR REEDUCATION OF MOVEMENT, BALANCE COORDINATION, KINESTHETIC SENSE, POSTURE, AND/OR PROPRIOCEPTION FOR SITTING OR STANDING ACTIVITIES"
97113,AQUATIC THERAPY WITH THERAPEUTIC EXERCISES
97124,MASSAGE THERAPY
97139,UNLISTED PHYSICAL MEDICINE PROCEDURE
97140,"MANUAL THERAPY TECHNIQUES (eg MOBILIZATION/MANIPULATION, MANUAL LYMPHATIC DRAINAGE, MANUAL TRACTION, 1 OR MORE REGIONS, EACH 15 MINUTES"
97150,"GROUP THERAPEUTIC PROCEDURES, (2 OR MORE INDIVIDUALS)"
97530,"THERAPEUTIC ACTIVITIES, (USE OF DYNAMIC ACTIVITIES TO IMPROVE FUNCTIONAL PERFORMANCE)"
97535,SELF CARE MANAGEMENT TRAINING
97810,"ACUPUNCTURE, 1 OR MORE NEEDLES, WITHOUT ELECTRICAL STIMULATION, INITIAL 15 MINUTES"
97811,"ACUPUNCTURE, 1 OR MORE NEEDLES, WITHOUT ELECTRICAL STIMULATION, EACH ADDITIONAL  15 MINUTES, WITH REINSERTION OF NEEDLES"
97813,"ACUPUNCTURE, 1 OR MORE NEEDLES, WITH ELECTRICAL STIMULATION, INITIAL 15 MINUTES"
97814,"ACUPUNCTURE, 1 OR MORE NEEDLES, WITH ELECTRICAL STIMULATION, EACH ADDITIONAL  15 MINUTES, WITH REINSERTION OF NEEDLES"
98925,OSTEOPATHIC MANIPULATION 1-2 REGIONS
98926,OSTEOPATHIC MANIPULATION 3-4 REGIONS
98927,OSTEOPATHIC MANIPULATION 5-6 REGIONS
98928,OSTEOPATHIC MANIPULATION 7-8 REGIONS
98929,OSTEOPATHIC MANIPULATION 9-10 REGIONS
98940,CHIROPRACTIC MANIPULATION 1-2 REGIONS
98941,CHIROPRACTIC MANIPULATION 3-4 REGIONS
98942,CHIROPRACTIC MANIPULATION 5 REGIONS
98943,"CHIROPRACTIC MANIPULATION EXTRASPINAL, 1 OR MORE REGIONS"
